一级阶段,二级环节,三级细分项,单点式提问,场景化提问（Agent 对话场景）,触发场景与原因,是否提供科研数据
构思选题与规划 (Idea & Planning),提出研究问题（PICOS 原则）,P (Population)：研究对象,我研究 XX 疾病，限定 XX 年龄段 + XX 分期会不会样本量不够？,我手里有 300 多例胃癌手术病例，限定只做 Ⅱ-Ⅲ 期的话，会不会样本量不够发核心？,医生初步锁定研究方向，计划从本院历史病历中提取数据，担心纳入排除标准过严导致可用病例数不足。,是（已有病例数据）
,,P (Population)：研究对象,纳入排除标准怎么定才合理，不会被审稿人质疑太宽松 / 太严苛？,我做冠心病预后研究，纳入排除标准怎么定才合适？太松怕异质性大，太严怕样本不够。,医生首次独立设计研究，无成熟经验，不清楚行业公认的设定尺度。,否（方案规划阶段）
,,P (Population)：研究对象,只选本院的病例行不行？会不会被说代表性不足？,我只有本院的病例数据，单中心做回顾性研究行不行？会不会被审稿人说代表性差？,医生仅能接触本院数据，无力开展多中心研究，担心单中心数据说服力不够。,是（已有本院病例）
,,I (Intervention/Exposure)：干预 / 暴露因素,干预措施要细化到什么程度？剂量、疗程都必须写死吗？,我研究两种手术方式的疗效对比，手术方式要描述到多细才算规范？,医生设计干预性研究，不清楚方法学部分的严谨性要求。,否（方案规划阶段）
,,I (Intervention/Exposure)：干预 / 暴露因素,暴露因素怎么定义才严谨？比如 “高血压” 按哪个诊断标准？,我把高血压作为暴露因素，应该用哪版诊断标准？自己随便定会不会不被认可？,医生开展观察性研究，对暴露因素的定义标准不明确。,否（方案规划阶段）
,,I (Intervention/Exposure)：干预 / 暴露因素,同时有多个干预措施，能不能都放进研究里？,患者术后有的做化疗有的做靶向，能不能都放进研究里？会不会因素太多结论说不清？,临床实际中患者常接受联合治疗，医生希望充分利用现有数据。,是（已有病例治疗数据）
,,C (Comparison)：对照组,我的研究一定要设对照组吗？没有对照能不能发？,我只有一组患者的治疗数据，没有对照组，这样的研究能发核心期刊吗？,医生手头只有单组病例数据，无法设置对照组，想确认无对照的研究类型能否发表。,是（已有单组病例）
,,C (Comparison)：对照组,用常规治疗当对照，还是用安慰剂当对照更容易出结果？,我做新药疗效研究，用安慰剂对照还是常规治疗对照？哪个更容易出阳性结果？,医生设计干预研究，在对照选择上纠结，既想符合伦理要求，又希望得到阳性结果。,否（方案规划阶段）
,,C (Comparison)：对照组,对照组样本量要和实验组 1:1 吗？,我回顾性数据里实验组 120 例，对照组 200 例，不是 1:1 行不行？会不会影响结果？,回顾性研究中两组病例数不对等，医生不确定非 1:1 配比是否合规。,是（已有分组病例数据）
,,O (Outcome)：结局指标,主要结局指标选几个合适？选多了会不会不聚焦？,预后研究主要结局选几个合适？选多了会不会显得研究没重点？,医生首次设计研究方案，不清楚结局指标的设置规范。,否（方案规划阶段）
,,O (Outcome)：结局指标,选硬终点（比如生存率）还是软终点（比如症状评分）更好发？,我随访了 3 年，选总生存作为硬终点，还是选生活质量评分？哪个更容易发？,医生在权衡研究周期与发表价值，硬终点证据等级高但随访周期长。,是（已有随访数据）
,,O (Outcome)：结局指标,次要结局指标有什么用？设多少个比较合理？,次要结局指标有必要设吗？设几个比较合适？,医生对研究指标体系不熟悉，不确定次要指标的学术价值。,否（方案规划阶段）
,,S (Study design)：研究设计,我手里只有回顾性病案，适合用什么研究设计？,我只有 5 年的回顾性病案，没条件做前瞻，适合做什么类型的研究？,医生没有时间和条件开展前瞻性研究，只能利用现有病历数据。,是（已有回顾性病案）
,,S (Study design)：研究设计,哪种研究类型审稿周期短、命中率高？,我还有半年评职称，哪种论文写得最快、最好发？赶时间。,医生面临职称评审截止日期，时间紧迫，希望选择周期短、难度低的类型。,否（方案规划阶段）
,,S (Study design)：研究设计,我的研究问题用 RCT 还是队列研究更合适？,我想验证新术式的疗效，做 RCT 还是回顾性队列？哪个更稳妥？,医生想提升研究的证据等级，但不确定自身资源是否支撑 RCT。,否（方案规划阶段）
,,S (Study design)：研究设计,我没有实验条件，纯生信分析的论文能不能用来评职称？,我没实验室也没太多病例，纯生信分析的论文评副高认不认？好不好发？,临床医生无实验室资源，想利用公共数据库数据发文。,否（方案规划阶段）
,,S (Study design)：研究设计,临床数据加生信验证，能不能提升文章档次？,我样本量不大，加个生信分析能不能提升文章水平？冲一下更高分的期刊。,医生手头有临床样本但样本量不大，希望通过补充生信分析提升研究深度。,是（已有临床样本数据）
